"SOURCE","TARGET","WEIGHT"
000111,00010110010110000001,1
000111,00010110100000000000,2
000111,00010110110000100000,1
000111,00010111000000000000,1
000111,00010111010000001000,1
000111,00011000000000000000,8
000111,00011000010000000001,1
000111,00011000010100000000,1
000111,00011000100000000000,1
000111,00011001000000000000,2
000111,00011100010000001001,1
000111,00011100010100001000,1
000111,00011100110000100000,1
000111,00011101100000000000,2
000111,00011110000000000000,11
000111,00011110100000000000,2
000111,00011110110000000001,1
000111,00011111000000000000,1
000111,00011111010000000001,1
000111,00011111100000000000,5
000111,00011111110000000001,2
000111,00110000000000000000,4
000111,00110000010000000001,1
000111,00110000100000000000,1
000111,00110001000000000000,2
000111,00110100000000000000,3
000111,00110100100000000000,1
000111,00110100110000000001,1
000111,00110101000000000000,1
000111,00110110000000000000,4
000111,00110110100000000000,2
000111,00110110110000100000,1
000111,00110111000000000000,1
000111,00111000000000000000,11
000111,00111000010000000001,1
000111,00111000010000100000,1
000111,00111000010100000000,1
000111,00111000100000000000,5
000111,00111000110000000001,1
000111,00111001000000000000,1
000111,00111001100000000000,2
000111,00111001110010000000,1
000111,00111100000000000000,12
000111,00111100010000000001,1
000111,00111100010100000000,1
000111,00111100100000000000,5
000111,00111100110000000001,1
000111,00111101000000000000,4
000111,00111101010100000000,1
000111,00111101100000000000,2
000111,00111110000000000000,18
000111,00111110010000000001,2
000111,00111110010000100000,2
000111,00111110100000000000,12
000111,00111110110001000000,1
000111,00111111000000000000,7
000111,00111111100000000000,9
000111,01010000000000000000,2
000111,01010000100000000000,1
000111,01010001100000000000,2
000111,01010100000000000000,3
000111,01010100100000000000,2
000111,01010110000000000000,4
000111,01010110010000001000,1
000111,01010110100000000000,6
000111,01010111000000000000,1
000111,01010111010100000000,1
000111,01010111100000000000,3
000111,01010111110000100000,1
000111,01011000010000000001,2
000111,01011000100000000000,1
000111,01011101000000000000,2
000111,01011101100000000000,1
000111,01011110000000000000,4
000111,01011110100000000000,3
000111,01011111000000000000,2
000111,01011111100000000000,8
000111,01011111111100001001,1
000111,01110000000000000000,4
000111,01110001110000000001,1
000111,01110100100000000000,1
000111,01110101000000000000,1
000111,01110101100000000000,1
000111,01110101110010000000,1
000111,01110110000000000000,2
000111,01110111000000000000,1
000111,01110111100000000000,1
000111,01111000000000000000,8
000111,01111000100000000000,5
000111,01111001000000000000,1
000111,01111001100000000000,1
000111,01111100000000000000,1
000111,01111100010000000001,1
000111,01111100100000000000,1
000111,01111101000000000000,1
000111,01111101100000000000,2
000111,01111110000000000000,10
000111,01111110010000000001,4
000111,01111110010000000101,1
000111,01111110010000001100,1
000111,01111110010000010001,1
000111,01111110010000100000,2
000111,01111110100000000000,6
000111,01111110110000100000,1
000111,01111111000000000000,5
000111,01111111010000000001,1
000111,01111111010000100001,1
000111,01111111100000000000,11
000111,01111111110000000001,2
001000,00111000000000000000,1
001000,01011111100000000000,1
001001,00111000100000000000,1
001001,00111111100000000000,1
001001,01110111100000000000,1
001010,00110000110000000001,1
001010,00111101100000000000,1
001010,00111110100000000000,1
001010,01010110000000000000,1
001010,01011111100000000000,1
001011,00111101000000000000,1
001100,00011001000000000000,1
001100,00110001100000000000,1
001100,00111000000000000000,1
001100,01110101000000000000,1
001100,01111001100000000000,1
001101,00111100000000000000,1
001101,00111110000000000000,4
001101,00111110100000000000,1
001101,01010100000000000000,1
001101,01110111100000000000,2
001101,01111001100000000000,1
001101,01111110000000000000,1
001101,01111110100000000000,1
001110,00111111000000000000,1
001110,01010111010000100000,1
001111,00010111010100000000,1
001111,00011000100000000000,1
001111,00011101100000000000,1
001111,00011111000000000000,1
001111,00110100000000000000,1
001111,00110101100000000000,1
001111,00110110100000000000,1
001111,00111000000000000000,1
001111,00111001000000000000,2
001111,00111001100000000000,1
001111,00111100000000000000,1
001111,00111100100000000000,1
001111,00111110000000000000,1
001111,00111111100000000000,1
001111,01010111100000000000,2
001111,01110101100000000000,1
001111,01110111010000000001,1
001111,01111101100000000000,1
001111,01111110000000000000,1
001111,01111110100000000000,2
001111,01111111000000000000,1
001111,01111111100000000000,3
010010,01110000100000000000,1
010011,01010000000000000000,1
010011,01111000000000000000,1
010100,00111110000000000000,1
010101,00110100000000000000,1
010101,00111110000000000000,1
010101,00111110100000000000,1
010101,00111111100000000000,1
010110,00111100100000000000,1
010111,00110100000000000000,1
010111,00111000000000000000,1
010111,00111110100000000000,1
010111,01010000000000000000,1
010111,01110110100000000000,1
010111,01111110000000000000,1
011000,01111100100000000000,1
011010,00111100000000000000,1
011010,01011101000000000000,1
011110,01010111100000000000,1
011110,01111000000000000000,1
011111,00010000000000000000,1
011111,00011110110010000000,1
011111,00111110000000000000,1
011111,01010111000000000000,1
011111,01111001000000000000,1
011111,01111110100000000000,1
011111,01111111000000000000,1
100000,00110100000000000000,1
100000,00111100000000000000,1
100000,00111110000000000000,1
100001,00011101000000000000,1
100001,00011110100000000000,1
100001,00111000000000000000,1
100001,00111000010000000001,1
100001,00111100000000000000,1
100001,00111111100000000000,1
100001,01010100000000000000,2
100001,01010111100000000000,1
100010,00111001010000100001,1
100010,01011000100000000000,1
100010,01011110000000000000,1
100010,01110111000000000000,1
100010,01111000000000000000,1
100010,01111110000000000000,1
100011,00010110110000000001,1
100011,00110100000000000000,1
