000000,00001,7
000000,10001,11
000000,10101,3
000000,10111,2
000000,11001,2
000000,11101,2
000001,00001,4
000001,10001,1
000001,10101,2
000001,10111,1
000001,11001,1
000010,00000,2
000010,00001,11
000010,00011,1
000010,00101,4
000010,01001,1
000010,10001,6
000010,10111,2
000010,11101,1
000011,00001,11
000011,00101,1
000011,10001,11
000011,10011,1
000011,10101,2
000011,11101,1
000100,00001,25
000100,00011,1
000100,10001,19
000100,10101,4
000100,10111,1
000100,11001,2
000100,11111,2
000101,00000,1
000101,00001,64
000101,00101,5
000101,00111,1
000101,10001,35
000101,10101,10
000101,10111,2
000101,11001,3
000101,11011,1
000101,11101,5
000110,00001,26
000110,10001,19
000110,10101,3
000110,10111,2
000110,11101,4
000110,11111,1
000111,00000,6
000111,00001,135
000111,00011,1
000111,00101,7
000111,00111,1
000111,01001,2
000111,01101,2
000111,10001,107
000111,10011,4
000111,10101,22
000111,10111,5
000111,11001,9
000111,11101,10
000111,11111,7
001000,00001,2
001001,00001,1
001001,10111,1
001001,11101,1
001010,00001,3
001010,10001,2
001011,00001,1
001100,00001,2
001100,10001,2
001100,10101,1
001101,00001,7
001101,10001,4
001101,11001,1
001110,00101,1
001110,10001,1
001111,00001,9
001111,00101,1
001111,00111,1
001111,10001,10
001111,10011,1
001111,10101,1
001111,10111,1
001111,11001,2
001111,11101,1
010010,10101,1
010011,00001,2
010100,10001,1
010101,00001,3
010101,10001,1
010110,11101,1
010111,00001,4
010111,10001,1
010111,10111,1
011000,00001,1
011010,00001,2
011110,00001,1
011110,10001,1
011111,00001,4
011111,10001,3
100000,00001,3
100001,00001,4
100001,01101,1
100001,10001,2
100001,10111,2
100010,00001,1
100010,00101,1
100010,10001,1
100010,10101,3
100011,00001,1
100011,00101,1
100011,11101,1
100100,00001,4
100100,10001,4
100100,10101,1
100100,11101,1
100101,00000,1
100101,00001,18
100101,00011,1
100101,10000,1
100101,10001,26
100101,10101,4
100101,10111,1
100101,11001,2
100101,11101,2
100101,11111,1
100110,00000,1
100110,00001,7
100110,10001,3
100110,10101,1
100111,00000,2
100111,00001,18
100111,00101,3
100111,01101,1
100111,10001,18
100111,10011,3
100111,10100,1
100111,10101,11
100111,10111,1
100111,11001,1
100111,11101,3
101010,10001,1
101011,00001,1
101101,00001,1
101101,10101,1
101111,00001,3
101111,10001,2
110011,10111,1
110111,01101,1
111111,00001,1
