"SOURCE","TARGET","WEIGHT"
00010000000000000000,00000,1
00010000000000000000,00001,5
00010000000000000000,00101,1
00010000000000000000,10001,4
00010000010000000001,00001,1
00010000010100000000,00001,1
00010000010100000000,11001,1
00010000010100000001,00001,1
00010000100000000000,10001,2
00010001100000000000,00001,1
00010001110000000001,10001,1
00010100000000000000,00001,6
00010100000000000000,00101,1
00010100000000000000,10001,3
00010100100000000000,10001,1
00010100110100000000,00001,1
00010101000000000000,00001,1
00010101100000000000,00001,1
00010101110100000000,00001,1
00010110000000000000,00000,1
00010110000000000000,00001,3
00010110000000000000,10001,5
00010110000000000000,11101,1
00010110010000000001,00001,1
00010110010000000001,10001,1
00010110010110000001,11001,1
00010110011000000000,00001,1
00010110100000000000,00001,2
00010110100000000000,10001,2
00010110100000000000,11001,1
00010110110000000001,00101,1
00010110110000100000,10001,1
00010110110100000000,10001,1
00010111000000000000,00001,1
00010111000000000000,10001,2
00010111000000000000,10101,1
00010111010000001000,10101,1
00010111010100000000,11001,1
00010111100000000000,00001,3
00010111110000000001,10001,1
00011000000000000000,00001,4
00011000000000000000,10001,5
00011000000000000000,10101,1
00011000000000000000,10111,1
00011000000000000000,11111,1
00011000010000000001,00001,1
00011000010100000000,00000,1
00011000010100000000,00001,1
00011000100000000000,00001,1
00011000100000000000,10001,1
00011000100000000000,10111,1
00011000110000000001,10001,1
00011001000000000000,00001,1
00011001000000000000,10001,2
00011100000000000000,00001,2
00011100000000000000,10001,2
00011100010000001000,10001,1
00011100010000001001,00001,1
00011100010100000000,10001,1
00011100010100001000,10001,1
00011100100000000000,10001,1
00011100110000100000,10001,1
00011100110100100000,00001,1
00011101000000000000,00001,1
00011101000000000000,10001,1
00011101010000100000,00001,1
00011101010100000001,10001,1
00011101100000000000,00001,2
00011101100000000000,10001,1
00011101100000000000,10101,1
00011110000000000000,00001,15
00011110000000000000,00111,1
00011110000000000000,01001,1
00011110000000000000,01101,1
00011110000000000000,10001,5
00011110000000000000,10101,1
00011110010000000001,10001,1
00011110100000000000,00001,3
00011110100000000000,10001,1
00011110100000000000,10101,1
00011110100000000000,10111,1
00011110100000000000,11101,1
00011110110000000001,00001,2
00011110110010000000,00001,1
00011110110100000001,10101,1
00011111000000000000,00001,2
00011111000000000000,10001,4
00011111000000000000,11101,1
00011111010000000001,00001,1
00011111100000000000,00001,5
00011111100000000000,10001,2
00011111100000000000,11101,2
00011111100000000000,11111,1
00011111110000000001,00001,1
00011111110000000001,10001,1
00011111110100000000,10101,1
00110000000000000000,00001,1
00110000000000000000,10001,2
00110000000000000000,10101,1
00110000000000000000,11101,1
00110000010000000001,00001,1
00110000010001000000,00001,1
00110000100000000000,00001,1
00110000110000000001,00001,1
00110001000000000000,00001,1
00110001000000000000,10001,1
00110001000000000000,10101,1
00110001000000000000,11111,1
00110001100000000000,00001,1
00110100000000000000,00001,7
00110100000000000000,00011,1
00110100000000000000,11101,1
00110100100000000000,00001,2
00110100100000000000,11011,1
00110100100000000000,11101,1
00110100110000000001,11101,1
00110101000000000000,00001,1
00110101000000000000,10001,1
00110101100000000000,00001,1
00110110000000000000,00000,1
00110110000000000000,00001,1
00110110000000000000,10001,4
00110110000000000000,10011,1
00110110000000000000,10101,1
00110110010100000000,00001,1
00110110100000000000,00000,2
00110110100000000000,00001,5
00110110100000000000,10001,2
00110110110000000001,10101,1
00110110110000100000,10001,1
00110111000000000000,10001,2
00110111100000000000,00001,2
00111000000000000000,00001,10
00111000000000000000,01101,1
00111000000000000000,10001,10
00111000000000000000,10011,1
00111000000000000000,10101,1
00111000000000000000,10111,3
00111000000000000000,11001,2
00111000000000000000,11101,1
00111000010000000001,00001,2
00111000010000000001,10001,2
00111000010000100000,00001,1
00111000010100000000,10111,1
00111000100000000000,00000,1
00111000100000000000,00001,2
00111000100000000000,00101,1
00111000100000000000,10001,2
00111000100000000000,10101,3
00111000100000000000,10111,3
00111000100000000000,11111,1
00111000110000000001,10001,1
00111001000000000000,00001,4
00111001000000000000,10001,1
00111001010000100001,10101,1
00111001100000000000,00001,5
00111001100000000000,10001,1
00111001100000000000,10101,1
00111001100000000000,10111,1
00111001110000000001,10001,1
00111001110010000000,10001,1
00111100000000000000,00001,23
00111100000000000000,00011,1
00111100000000000000,00101,3
00111100000000000000,01101,1
00111100000000000000,10001,13
00111100000000000000,10100,1
00111100010000000001,00001,2
00111100010000000001,10001,2
00111100010100000000,00001,1
00111100100000000000,00001,9
00111100100000000000,10001,2
00111100100000000000,11101,2
00111100100000000000,11111,1
00111100110000000001,00001,1
00111100110000000100,11001,1
00111101000000000000,00001,6
00111101000000000000,00101,2
00111101000000000000,10001,6
00111101000000000000,10101,1
00111101000000000000,11111,1
00111101010000000001,00001,1
00111101010000000001,10001,1
00111101010000100000,10001,1
00111101010001000000,10001,1
00111101010100000000,10001,1
00111101010100000000,10101,1
00111101100000000000,00000,1
00111101100000000000,00001,10
00111101100000000000,10001,3
00111101100000000000,11101,1
00111101110000010000,10001,1
00111110000000000000,00001,23
00111110000000000000,00101,1
00111110000000000000,10001,18
00111110000000000000,10101,3
00111110000000000000,11001,4
00111110000000000000,11101,6
00111110010000000001,10001,1
00111110010000000001,10101,1
00111110010000100000,00101,1
00111110010000100000,10001,1
00111110010010101001,10101,1
00111110100000000000,00001,18
00111110100000000000,00101,2
00111110100000000000,10001,13
00111110100000000000,10101,8
00111110100000000000,11001,1
00111110100000000000,11111,1
00111110110000000001,10001,2
00111110110000000001,10101,1
00111110110000100000,10001,1
00111110110001000000,00001,1
00111111000000000000,00000,2
00111111000000000000,00001,10
00111111000000000000,10001,4
00111111000000000000,10011,1
00111111010000000001,10001,2
00111111010000001100,10001,1
00111111100000000000,00001,12
00111111100000000000,10001,25
00111111100000000000,10101,1
00111111100000000000,11001,2
00111111100000000000,11101,1
00111111110001100000,00001,1
00111111110100000000,00001,1
00111111110100100000,11101,1
01010000000000000000,00001,4
01010000000000000000,00101,1
01010000000000000000,10001,2
01010000000000000000,10101,1
01010000000000000000,10111,1
01010000010001000000,10101,1
01010000100000000000,00001,2
01010000100000000000,10001,1
01010000100000000000,10111,1
01010001000000000000,10101,1
01010001000000000000,10111,1
01010001000000000000,11111,1
01010001100000000000,00101,1
01010001100000000000,10001,1
01010100000000000000,00001,5
01010100000000000000,10001,3
01010100000000000000,10101,2
01010100100000000000,10001,2
01010100110100000000,00001,1
01010101000000000000,00001,1
01010101100000000000,00001,1
01010110000000000000,00001,8
01010110000000000000,10001,3
01010110000000000000,10101,1
01010110010000000001,10001,1
01010110010000001000,10001,1
01010110010000100000,00001,1
01010110010110000000,00001,1
01010110100000000000,00001,4
01010110100000000000,01101,1
01010110100000000000,10001,3
01010110100000000000,10011,2
01010110100000000000,10101,1
01010111000000000000,00101,1
01010111000000000000,10001,1
01010111010000100000,00101,1
01010111010100000000,00001,1
01010111100000000000,00000,1
01010111100000000000,00001,6
01010111100000000000,10001,3
01010111100000000000,11001,1
01010111110000100000,00011,1
01011000000000000000,00001,1
01011000000000000000,10001,1
01011000000000000000,10101,1
01011000000000000000,11101,1
01011000010000000001,00001,1
01011000010000000001,10001,1
01011000010000000001,10101,1
01011000010100100000,10111,1
01011000100000000000,10001,1
01011000100000000000,10101,1
01011100000000000000,00001,1
01011100010000000001,01101,1
01011100100000000000,10001,1
01011101000000000000,00001,3
01011101100000000000,10001,1
01011101100000000000,10101,1
01011110000000000000,00001,4
01011110000000000000,00101,1
01011110000000000000,10001,5
01011110000000000000,10101,2
01011110000000000000,10111,1
01011110010000000001,10101,1
01011110010000100000,00001,1
01011110100000000000,00001,1
01011110100000000000,10001,2
01011110100000000000,10101,2
01011110100000000000,11111,1
01011110110100000000,10101,1
01011111000000000000,00001,1
01011111000000000000,00101,1
01011111000000000000,10001,1
01011111000000000000,10011,1
01011111100000000000,00001,5
01011111100000000000,10001,5
01011111100000000000,10101,2
01011111110100000000,10001,1
01011111111100001001,00001,1
01110000000000000000,00001,1
01110000000000000000,01001,1
01110000000000000000,10001,2
01110000000000000000,11001,1
01110000100000000000,10101,1
01110001110000000001,10001,1
01110100000000000000,00001,1
01110100000000000000,10111,1
01110100000000000000,11101,1
01110100100000000000,00001,1
01110101000000000000,00001,1
01110101000000000000,10101,1
01110101100000000000,00001,1
01110101100000000000,10001,1
01110101110010000000,10001,1
01110110000000000000,00001,4
01110110000000000000,10001,1
01110110100000000000,00001,1
01110110100000000000,10111,1
01110111000000000000,00001,2
01110111000000000000,10001,1
01110111010000000001,00111,1
01110111100000000000,00001,4
01110111100000000000,10111,1
01110111100000000000,11101,1
01111000000000000000,00000,1
01111000000000000000,00001,9
01111000000000000000,00101,2
01111000000000000000,01001,1
01111000000000000000,10001,6
01111000000000000000,10101,1
01111000000000000000,11101,1
01111000000000000000,11111,1
01111000010111101101,00001,1
01111000100000000000,00001,2
01111000100000000000,10001,3
01111000100000000000,11101,2
01111000110000000001,00001,1
01111001000000000000,00001,1
01111001000000000000,10001,2
01111001100000000000,00001,2
01111001100000000000,00011,1
01111001100000000000,10001,2
01111001100000000000,11101,1
01111100000000000000,00001,6
01111100000000000000,10001,2
01111100000000000000,10101,2
01111100000000000000,10111,1
01111100000000000000,11001,1
01111100010000000001,10111,1
01111100010010000001,00001,1
01111100100000000000,00001,3
01111100100000000000,00111,1
01111100100000000000,10101,1
01111101000000000000,10001,3
01111101000000000000,10011,1
01111101100000000000,00001,2
01111101100000000000,00101,1
01111101100000000000,10101,2
01111101100000000000,10111,1
01111101110000100000,00001,1
01111110000000000000,00001,13
01111110000000000000,10001,13
01111110000000000000,10101,2
01111110000000000000,10111,1
01111110000000000000,11001,2
01111110000000000000,11101,1
01111110000000000000,11111,1
01111110010000000001,00001,3
01111110010000000001,10001,2
01111110010000000101,00001,1
01111110010000001100,11001,1
01111110010000010001,00001,1
01111110010000100000,00001,1
01111110010000100000,10001,1
01111110100000000000,00000,1
01111110100000000000,00001,6
01111110100000000000,00101,1
01111110100000000000,10001,7
01111110100000000000,10011,1
01111110100000000000,10101,1
01111110110000100000,10001,1
01111110111000101100,10101,1
01111111000000000000,00001,6
01111111000000000000,10001,4
01111111000000000000,11101,2
01111111010000000001,10001,1
01111111010000100000,00001,1
01111111010000100001,00001,1
01111111100000000000,00001,8
01111111100000000000,00101,1
01111111100000000000,10000,1
01111111100000000000,10001,8
01111111100000000000,10011,1
01111111100000000000,10101,4
01111111100000000000,11001,3
01111111100000000000,11101,2
01111111110000000001,00001,1
01111111110000000001,10001,1
01111111110100000000,10001,1
