SEQN,CBD010,CBQ020,CBQ030,CBQ040,CBQ050,CBQ060,CBD070,CBD090,CBD110,CBD120,CBD130,CBQ140,CBD150,CBD160,CBD170,CBD180,CBQ190
41517.0,2.0,1.0,1.0,1.0,1.0,1.0,400.0,0.0,0.0,200.0,100.0,2.0,5.0,7.0,120.0,7.0,7.0
41518.0,2.0,1.0,2.0,1.0,5.0,5.0,535.0,85.0,42.0,100.0,40.0,2.0,10.0,0.0,nan,0.0,nan
41519.0,2.0,2.0,1.0,2.0,3.0,2.0,110.0,15.0,0.0,0.0,0.0,2.0,8.0,7.0,240.0,7.0,7.0
41520.0,2.0,2.0,1.0,4.0,5.0,5.0,650.0,0.0,0.0,300.0,80.0,4.0,10.0,7.0,90.0,7.0,6.0
41521.0,1.0,1.0,1.0,4.0,5.0,3.0,200.0,0.0,300.0,100.0,50.0,3.0,10.0,5.0,60.0,5.0,5.0
41522.0,2.0,1.0,1.0,1.0,1.0,1.0,400.0,20.0,0.0,30.0,0.0,2.0,5.0,3.0,120.0,10.0,10.0
41523.0,2.0,1.0,1.0,1.0,5.0,1.0,300.0,75.0,80.0,200.0,200.0,4.0,10.0,4.0,90.0,7.0,4.0
41524.0,1.0,1.0,1.0,4.0,1.0,5.0,800.0,0.0,21.0,0.0,0.0,1.0,15.0,7.0,90.0,7.0,7.0
41525.0,2.0,2.0,2.0,2.0,5.0,1.0,250.0,50.0,150.0,50.0,20.0,1.0,10.0,4.0,90.0,0.0,nan
41526.0,1.0,2.0,4.0,2.0,1.0,3.0,150.0,0.0,20.0,50.0,0.0,2.0,45.0,1.0,120.0,666.0,nan
41527.0,2.0,2.0,2.0,1.0,1.0,2.0,500.0,0.0,0.0,50.0,0.0,2.0,3.0,5.0,60.0,7.0,7.0
41528.0,2.0,1.0,1.0,2.0,2.0,1.0,500.0,0.0,0.0,20.0,0.0,2.0,15.0,7.0,120.0,7.0,7.0
41529.0,2.0,1.0,3.0,1.0,5.0,1.0,300.0,55.0,32.0,200.0,50.0,2.0,20.0,0.0,nan,2.0,2.0
41530.0,2.0,1.0,1.0,3.0,1.0,1.0,1178.0,214.0,250.0,175.0,0.0,2.0,10.0,6.0,60.0,5.0,5.0
41531.0,2.0,1.0,1.0,3.0,5.0,2.0,350.0,0.0,0.0,110.0,0.0,3.0,30.0,7.0,90.0,0.0,nan
41532.0,2.0,2.0,2.0,3.0,5.0,4.0,300.0,0.0,200.0,150.0,0.0,4.0,20.0,7.0,60.0,7.0,7.0
41533.0,2.0,1.0,1.0,3.0,5.0,4.0,350.0,30.0,0.0,0.0,20.0,2.0,10.0,7.0,90.0,1.0,1.0
